match_number,red_score,blue_score,red_team_1,red_team_2,red_Auto,red_Auto_Backdrop_Points,red_Auto_Backstage_Points,red_Navigation_Points,red_Randomization,red_Driver_Controlled,red_Driver_Backdrop_Points,red_Driver_Backstage_Points,red_Mosaic_Points,red_Set_Bonus_Points,red_End_Game,red_Location,red_Drone_Points,red_Penalty_from_other_team,blue_team_1,blue_team_2,blue_Auto,blue_Auto_Backdrop_Points,blue_Auto_Backstage_Points,blue_Navigation_Points,blue_Randomization,blue_Driver_Controlled,blue_Driver_Backdrop_Points,blue_Driver_Backstage_Points,blue_Mosaic_Points,blue_Set_Bonus_Points,blue_End_Game,blue_Location,blue_Drone_Points,blue_Penalty_from_other_team
59,233,138,2901,15145,78,5,3,10,60,75,45,0,20,10,70,40,30,10,8081,5026,35,10,0,5,20,83,51,2,20,10,20,20,0,0
60,88,162,5741,23112,30,5,0,5,20,33,21,2,10,0,25,25,0,0,6955,4137,43,15,3,5,20,79,48,1,20,10,40,20,20,0
61,252,181,12599,19066,78,10,3,5,60,124,72,2,30,20,50,20,30,0,18397,16771,100,10,0,10,80,61,30,1,20,10,20,20,0,0
62,202,210,11146,21229,93,20,3,10,60,79,48,1,20,10,20,20,0,10,8721,7393,60,10,0,10,40,60,36,4,10,10,50,40,10,40
63,245,180,24474,19448,100,10,0,10,80,95,54,1,20,20,50,20,30,0,19162,18422,56,5,6,5,40,34,33,1,0,0,90,40,50,0
64,192,197,25152,25192,50,5,0,5,40,52,42,0,0,10,70,40,30,20,4029,8411,78,5,3,10,60,39,24,5,10,0,80,40,40,0
65,251,266,14470,6699,83,10,3,10,60,68,48,0,0,20,70,40,30,30,11129,7258,105,15,0,10,80,71,51,0,10,10,90,40,50,0
66,188,235,7149,18017,68,15,3,10,40,20,18,2,0,0,90,40,50,10,19819,18227,88,15,3,10,60,57,24,3,20,10,90,40,50,0
67,333,280,11329,8468,110,40,0,10,60,143,90,3,30,20,80,40,40,0,18763,12928,93,25,3,5,60,97,57,0,20,20,90,40,50,0
68,236,340,8719,23020,53,10,3,0,40,73,42,1,20,10,100,40,60,10,20188,11212,50,10,0,0,40,120,69,1,30,20,80,40,40,90
69,208,16,7209,8513,38,5,3,10,20,90,48,2,20,20,80,40,40,0,24954,18984,0,0,0,0,0,16,15,1,0,0,0,0,0,0
