match_number,red_score,blue_score,red_team_1,red_team_2,red_Auto,red_Auto_Backdrop_Points,red_Auto_Backstage_Points,red_Navigation_Points,red_Randomization,red_Driver_Controlled,red_Driver_Backdrop_Points,red_Driver_Backstage_Points,red_Mosaic_Points,red_Set_Bonus_Points,red_End_Game,red_Location,red_Drone_Points,red_Penalty_from_other_team,blue_team_1,blue_team_2,blue_Auto,blue_Auto_Backdrop_Points,blue_Auto_Backstage_Points,blue_Navigation_Points,blue_Randomization,blue_Driver_Controlled,blue_Driver_Backdrop_Points,blue_Driver_Backstage_Points,blue_Mosaic_Points,blue_Set_Bonus_Points,blue_End_Game,blue_Location,blue_Drone_Points,blue_Penalty_from_other_team
14,323,183,16461,19836,110,20,0,10,80,113,63,0,40,10,70,40,30,30,21225,25309,60,10,0,10,40,43,30,3,10,0,70,40,30,10
15,196,127,10477,16597,80,15,0,5,60,66,36,0,20,10,50,20,30,0,23898,1002,35,5,0,10,20,12,9,3,0,0,40,40,0,40
16,265,198,20123,18840,50,5,0,5,40,85,54,1,20,10,90,40,50,40,21695,19411,70,20,0,10,40,88,51,7,20,10,40,20,20,0
17,220,168,12993,11780,43,15,3,5,20,107,63,4,30,10,70,40,30,0,20871,8365,66,10,6,10,40,32,27,5,0,0,70,20,50,0
18,202,267,10265,24750,80,10,0,10,60,62,48,4,0,10,60,40,20,0,11770,10544,86,10,6,10,60,81,48,3,20,10,70,40,30,30
19,166,314,16265,16158,25,5,0,0,20,81,51,0,20,10,60,40,20,0,9848,19502,105,15,0,10,80,119,69,0,30,20,90,40,50,0
20,261,68,23381,6174,80,10,0,10,60,81,51,0,20,10,40,40,0,60,24809,16817,38,5,3,10,20,10,3,7,0,0,10,0,10,10
21,208,225,3188,5356,83,10,3,10,60,70,39,1,20,10,55,25,30,0,12808,23905,76,5,6,5,60,69,45,4,10,10,80,40,40,0
22,174,172,21865,23521,70,5,0,5,60,39,18,1,10,10,45,25,20,20,23422,3397,66,10,6,10,40,31,18,3,10,0,45,25,20,30
23,245,143,20288,21430,100,10,0,10,80,55,27,8,10,10,90,40,50,0,23207,516,31,0,6,5,20,62,30,12,20,0,40,20,20,10
24,245,184,23060,24433,50,5,0,5,40,95,63,2,20,10,90,40,50,10,25309,23554,20,0,0,0,20,54,30,4,10,10,80,20,60,30
25,360,60,19458,9614,115,45,0,10,60,175,114,1,30,30,70,40,30,0,19953,19889,18,5,3,10,0,22,21,1,0,0,20,20,0,0
26,224,341,6596,15400,90,20,0,10,60,74,54,0,10,10,40,20,20,20,21225,17962,108,35,3,10,60,163,102,1,40,20,60,40,20,10
27,364,149,10644,16468,115,25,0,10,80,159,96,3,40,20,80,40,40,10,10298,16461,28,0,3,5,20,21,18,3,0,0,100,40,60,0
28,231,261,14725,13603,70,5,0,5,60,31,15,6,10,0,100,40,60,30,19836,3747,125,35,0,10,80,86,54,2,20,10,20,20,0,30
29,46,211,1002,10265,25,0,0,5,20,16,12,4,0,0,5,5,0,0,16265,12993,83,30,3,10,40,93,72,1,10,10,35,25,10,0
30,142,281,23898,16158,56,0,6,10,40,36,24,2,10,0,50,20,30,0,20123,10544,85,15,0,10,60,101,60,1,20,20,85,25,60,10
31,202,124,9848,18840,56,0,6,10,40,76,45,1,20,10,70,20,50,0,5356,24809,78,10,3,5,60,16,12,4,0,0,30,0,30,0
32,202,68,19502,3188,50,5,0,5,40,72,42,0,20,10,70,20,50,10,3397,11780,15,0,0,5,10,8,3,5,0,0,45,25,20,0
